name,best_match,fuzzy_matching_score,score_with_cleaned_name,score_3ch,score_5ch,total,position
zinoMarine Systemz,SínoMarin-eSystmz,80,76,33,60,249,2
Seoul zhíp Systems x5,Seoul zhíp Systems x5,100,100,120,150,470,1
Seoul zhíp Systems x5,Seoul Ship Systems,82,74,120,150,426,2
Hainan Ocenic-x2,Hainan Ocenic-x2,100,100,120,150,470,1
Hainan Ocenic-x2,Hainan Oceanic,87,76,120,150,433,2
Kobe Ship Solutioms (2),Kobe Ship Solutions,88,94,120,150,452,1
Kobe Ship Solutioms (2),Kob Ship Solutions,85,91,120,75,371,2
índustrie Marine Lourd,Industrie Marine-Lourd,95,93,67,80,335,1
índustrie Marine Lourd,Industrie Marine Lourd,95,93,67,80,335,1
Zhèjiang Oceam Tech,Zhejiang Ocean Tech,89,76,67,80,312,1
Zhèjiang Oceam Tech,Zhejiang Okean Tech (2),78,82,67,80,307,2
Sakura Ship Engineering,Sakura Ship Engineering,100,100,120,150,470,1
Sakura Ship Engineering,Sakura Ship Engineering,100,100,120,150,470,1
Seoul Ship Systems x5,Seoul Ship Systems,92,95,120,150,457,1
Seoul Ship Systems x5,Seoul zhíp Systems x5,90,80,120,150,440,2
Titán HeavyEquipmmt x5,Titan Heavy-equipment,79,79,120,80,358,1
Titán HeavyEquipmmt x5,Titan Heavy Equipment,79,79,120,80,358,1
Kbé-Ship solütions,Kob Ship Solutions,89,88,67,75,319,1
Kbé-Ship solütions,Kobe Ship Solutions,86,85,67,50,288,2
Teknologia Marima Avanzadá x5,Tecnologia Marina Avanzada,84,86,67,80,317,1
Teknologia Marima Avanzadá x5,Tcnologia Marimá Avànzada,78,79,33,60,250,2
Osa-Kikài (2),Osaka-Kikai,70,78,120,89,357,1
Osa-Kikài (2),Osaka Kikai,70,78,120,89,357,1
aínan Oceanic,Hainan Oceanic,89,80,33,60,262,1
aínan Oceanic,Hainan Ocenic-x2,76,60,33,60,229,2
Global-Marine industy,Global Marine Industry,98,96,120,150,464,1
Global-Marine industy,Global Maríne-industry,93,79,120,150,442,2
honghai Jixie-x5,honghai Jixie-x5,100,100,120,150,470,1
honghai Jixie-x5,Zhonghai Jixie,87,92,67,80,326,2
Maritech Enginèering,Maritech Engineerimg,90,89,120,150,449,1
Maritech Enginèering,Maritech Engineering,95,59,120,150,424,2
Hyündai-öcean Wörks,Hyundai Ocean Works,84,50,67,80,281,1
Hyündai-öcean Wörks,Hainan Oceanic,48,40,33,40,161,2
Pácific Heavy Emgimeering-(3),Pacific Heavy Engineering,83,48,67,80,278,1
Pácific Heavy Emgimeering-(3),Poseidon Engineerinj 4x,47,53,33,40,173,2
Nord Sea Diesel Industry 4x,Nord Sea Diesel Industry,94,98,120,150,462,1
Nord Sea Diesel Industry 4x,Nord-Sa Díesel índustry x5,87,88,120,150,445,2
hanghai Longhua,Shanghai Longhua,97,97,67,80,341,1
hanghai Longhua,Shanghai Longhua,97,97,67,80,341,1
Indüstria Nàvale Pesante,Industria Navale Pesante,92,91,120,80,383,1
Indüstria Nàvale Pesante,Industria Nvale Pesnte,91,90,120,80,381,2
Pozeidon èngineerng,Poseidon Engineerinj 4x,76,79,67,80,302,1
Pozeidon èngineerng,Poseidon Engineering,87,54,67,80,288,2
Zhnghai Jixie,Zhonghai Jixie,96,96,67,80,339,1
Zhnghai Jixie,honghai Jixie-x5,83,88,67,80,318,2
Ble Harbor Technology,Blue Harbor Technology,98,97,67,75,337,1
Ble Harbor Technology,Neptune Marine Technology,65,61,33,22,181,2
Shenzhen Haixing,Shenzhen Haixing,100,100,120,150,470,1
Shenzhen Haixing,Shenzhen-Haíxing 4x,86,90,120,150,446,2
míppon Kogyo Màrine 4x,Níppon Kogyo-Marine (2),82,69,67,80,298,1
míppon Kogyo Màrine 4x,Nippon Kogyo Marine,78,62,33,60,233,2
Titan Heavy Equipment,Titan Heavy-equipment,100,100,120,150,470,1
Titan Heavy Equipment,Titan Heavy Equipment,100,100,120,150,470,1
SinöWavè Systems,SinoWave Systems,88,75,120,80,363,1
SinöWavè Systems,SinoWave Systems x2,80,71,120,80,351,2
SinoMaríne systems x5,SinoMarine Systems,87,36,120,150,393,1
SinoMaríne systems x5,sinöMaríne Syztems (2),81,86,120,80,367,2
Hokaido-Zsen,Hokkaido Zosen,92,92,120,80,384,1
Hokaido-Zsen,Hokkaido Zosen 4x,83,88,120,80,371,2
Zhonghai Jiie,Zhonghai Jixie,96,96,120,150,462,1
Zhonghai Jiie,Zhomghái Jixie,81,80,120,80,361,2
zakura Shi enginering 4x,zakura Shi enginering 4x,100,100,120,150,470,1
zakura Shi enginering 4x,Sakura Ship Engineerinj,81,83,67,80,311,2
Atlantique industrie Marine,Atlantique Industrie Marine,100,100,120,150,470,1
Atlantique industrie Marine,Atlantique nduztrie Marine,94,92,120,150,456,2
Hainan Oceanic *3,Hainan Oceanic,90,100,120,150,460,1
Hainan Oceanic *3,Hainan Ocenic-x2,85,76,120,150,431,2
Qimgdao Haixing,Qimgdao Haixing,100,100,120,150,470,1
Qimgdao Haixing,Qimgdao Haixíng (3),85,93,120,150,448,2
Industriá Navale Pesamte,Industria Navale Pesante,92,91,120,150,453,1
Industriá Navale Pesamte,Industria Nvale Pesnte,87,86,120,150,443,2
HyundaiOcean Works,Hyundai Ocean Works,97,100,120,150,467,1
HyundaiOcean Works,Hainan Oceanic,50,53,33,40,176,2
Blue-Harbor Téchnology *3,Blue Harbor Technology,89,95,120,150,454,1
Blue-Harbor Téchnology *3,Kobe Ship Solutions,36,32,33,50,151,2
Shanghai Longhua,Shanghai Longhua,100,100,120,150,470,1
Shanghai Longhua,Shanghai Longhua,100,100,120,150,470,1
Neptune-Marime Technology,Neptune Marine Technology,96,85,120,150,451,1
Neptune-Marime Technology,Neptuno Tecnologia Marina,60,61,120,150,391,2
Zhejiang Ocean Tech,Zhejiang Ocean Tech,100,100,120,150,470,1
Zhejiang Ocean Tech,Zhejiang Okean Tech (2),88,83,120,150,441,2
Neptunö Tecmologia Marim,Neptuno Tecnologia Marina,86,84,120,150,440,1
Neptunö Tecmologia Marim,Neptune Marine Technology,57,67,120,150,394,2
Tecnologia Marina Avanzada,Tecnologia Marina Avanzada,100,100,120,150,470,1
Tecnologia Marina Avanzada,Tcnologia Marimá Avànzada,86,85,67,80,318,2
Osaka-Kiài,Osaka-Kikai,86,84,120,150,440,1
Osaka-Kiài,Osaka Kikai,86,84,120,150,440,1
Atantic Engineerimg x5,Atantic Engineerimg x5,100,100,120,150,470,1
Atantic Engineerimg x5,Atlantic Engineering x5,93,57,67,80,297,2
Sakura-ShipEnjineering,Sakura Ship Engineerinj,89,90,120,150,449,1
Sakura-ShipEnjineering,Sakura Ship Engineering,93,65,120,150,428,2
